Название,Адрес,Город,Номер телефона,Вебсайт,Cсылка
КАВАЛЕР- магазин мужской одежды город Обнинск.,"д пр-т Маркса, д. 45, ТРК «Триумф Плаза», Галерея ""Этажи",Москва,+7 910 600-37-27,,https://www.google.com/maps/place/%D0%9A%D0%90%D0%92%D0%90%D0%9B%D0%95%D0%A0-+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+%D0%B3%D0%BE%D1%80%D0%BE%D0%B4+%D0%9E%D0%B1%D0%BD%D0%B8%D0%BD%D1%81%D0%BA./data=!4m7!3m6!1s0x46cad27c0e683457:0xfee30c090bb81a91!8m2!3d55.1166332!4d36.5929973!16s%2Fg%2F11bwf80c0p!19sChIJVzRoDnzSykYRkRq4CwkM4_4?authuser=0&hl=ru&rclk=1
Baon,"пр. Маркса, 45",Москва,+7 495 637-87-08 ext. 531,,https://www.google.com/maps/place/Baon/data=!4m7!3m6!1s0x46cad3b6f6f953d3:0x9074b17c6083d02b!8m2!3d55.1150737!4d36.5915002!16s%2Fg%2F11kbyd0xth!19sChIJ01P59rbTykYRK9CDYHyxdJA?authuser=0&hl=ru&rclk=1
"Бутик Monti (Мужская, Женская Мода)",Триумф Плаза,Москва,+7 909 251-85-12,,"https://www.google.com/maps/place/%D0%91%D1%83%D1%82%D0%B8%D0%BA+Monti+%28%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F,+%D0%96%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F+%D0%9C%D0%BE%D0%B4%D0%B0%29/data=!4m7!3m6!1s0x46cad3da864a71a3:0x632de5369c2e6944!8m2!3d55.1164!4d36.5920932!16s%2Fg%2F11f5jp_37l!19sChIJo3FKhtrTykYRRGkunDblLWM?authuser=0&hl=ru&rclk=1"
"Салон-магазин ""Классик""","ул. Ленина, 16",Москва,,,https://www.google.com/maps/place/%D0%A1%D0%B0%D0%BB%D0%BE%D0%BD-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%22%D0%9A%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%22/data=!4m7!3m6!1s0x46cad36c01d45639:0x452d62a146d00a12!8m2!3d55.0890627!4d36.5994468!16s%2Fg%2F11ghq5s00v!19sChIJOVbUAWzTykYREgrQRqFiLUU?authuser=0&hl=ru&rclk=1
"ООО фирма ""Торговый центр""","55.105993, 36.596505",Москва,+7 484 397-53-51,,https://www.google.com/maps/place/%D0%9E%D0%9E%D0%9E+%D1%84%D0%B8%D1%80%D0%BC%D0%B0+%22%D0%A2%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D1%8B%D0%B9+%D1%86%D0%B5%D0%BD%D1%82%D1%80%22/data=!4m7!3m6!1s0x46cad2892bd43047:0x91f92bd3399021da!8m2!3d55.105938!4d36.5965732!16s%2Fg%2F1tdf00gs!19sChIJRzDUK4nSykYR2iGQOdMr-ZE?authuser=0&hl=ru&rclk=1
Zolla,"пр. Маркса, д. 45",Москва,+7 484 583-81-90,,https://www.google.com/maps/place/Zolla/data=!4m7!3m6!1s0x46cad27e9f07d39d:0xc9beb54b43e391db!8m2!3d55.117136!4d36.5933089!16s%2Fg%2F11f120v53p!19sChIJndMHn37SykYR25HjQ0u1vsk?authuser=0&hl=ru&rclk=1
LIDERNEXT,"Улица Ленина, д. 8",Москва,,,https://www.google.com/maps/place/LIDERNEXT/data=!4m7!3m6!1s0x46cab7553a39e463:0xb9546ddf7c8e2f70!8m2!3d55.383141!4d36.728111!16s%2Fg%2F11ftgq9ptj!19sChIJY-Q5OlW3ykYRcC-OfN9tVLk?authuser=0&hl=ru&rclk=1
ЛИДЕР,"ТЦ ""Заречье"", ул. пл. Свободы, 13",Москва,+7 929 613-69-35,,https://www.google.com/maps/place/%D0%9B%D0%98%D0%94%D0%95%D0%A0/data=!4m7!3m6!1s0x46cab0aaa5ae8e5f:0x167369d1f265ad42!8m2!3d55.3856779!4d36.735009!16s%2Fg%2F11b8zc0425!19sChIJX46upaqwykYRQq1l8tFpcxY?authuser=0&hl=ru&rclk=1
"Салон-магазин ""Ля Флер""","ул. Курчатова, 72",Москва,+7 484 395-49-75,,https://www.google.com/maps/place/%D0%A1%D0%B0%D0%BB%D0%BE%D0%BD-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%22%D0%9B%D1%8F+%D0%A4%D0%BB%D0%B5%D1%80%22/data=!4m7!3m6!1s0x46cad293ffffffff:0x2e9053a9cfd04a8!8m2!3d55.121425!4d36.6236674!16s%2Fg%2F11h0qshtl!19sChIJ_____5PSykYRqAT9nDoF6QI?authuser=0&hl=ru&rclk=1
United Grey,"пр. Ленина, 137/4",Москва,+7 910 602-82-99,,https://www.google.com/maps/place/United+Grey/data=!4m7!3m6!1s0x46cad36db7d00737:0x64e732c7d6daffb1!8m2!3d55.1121502!4d36.5831174!16s%2Fg%2F11jkrd614t!19sChIJNwfQt23TykYRsf_a1scy52Q?authuser=0&hl=ru&rclk=1
